Date,hours_in_day,avail_time,focused_prop
2018-07-21,2.5,8,0.31
2018-07-22,1.25,8,0.16
2018-07-23,0.8333333333333334,8,0.1
2018-07-24,2.0833333333333335,8,0.26
2018-07-25,1.25,8,0.16
2018-07-26,1.6666666666666667,8,0.21
2018-07-27,1.25,8,0.16
2018-07-28,2.0833333333333335,8,0.26
2018-07-29,0,8,0
2018-07-30,3.75,8,0.47
2018-07-31,0,8,0
2018-08-01,2.5,8,0.31
2018-08-02,0.8333333333333334,8,0.1
2018-08-03,2.916666666666667,8,0.36
2018-08-04,1.25,8,0.16
2018-08-05,0,8,0
2018-08-06,2.916666666666667,8,0.36
2018-08-07,0.4166666666666667,8,0.05
2018-08-08,0,8,0
2018-08-09,0.4166666666666667,8,0.05
2018-08-10,0.4166666666666667,8,0.05
2018-08-11,0,8,0
2018-08-12,0,8,0
2018-08-13,0.8333333333333334,8,0.1
2018-08-14,0.4166666666666667,8,0.05
2018-08-15,1.6666666666666667,8,0.21
2018-08-16,0,8,0
2018-08-17,0,8,0
2018-08-18,3.3333333333333335,8,0.42
2018-08-19,0,8,0
2018-08-20,1.6666666666666667,8,0.21
2018-08-21,0,8,0
2018-08-22,0.4166666666666667,8,0.05
2018-08-23,0,8,0
2018-08-24,0.4166666666666667,8,0.05
2018-08-25,0,8,0
2018-08-26,0,8,0
2018-08-27,3.3333333333333335,8,0.42
2018-08-28,0.8333333333333334,8,0.1
2018-08-29,1.25,8,0.16
2018-08-30,2.5,8,0.31
2018-08-31,3.75,8,0.47
2018-09-01,3.75,8,0.47
2018-09-02,0.8333333333333334,8,0.1
2018-09-03,3.3333333333333335,8,0.42
2018-09-04,0.4166666666666667,8,0.05
2018-09-05,1.25,8,0.16
2018-09-06,0.4166666666666667,8,0.05
2018-09-07,0.8333333333333334,8,0.1
2018-09-08,0.8333333333333334,8,0.1
2018-09-09,1.25,8,0.16
2018-09-10,2.0833333333333335,8,0.26
2018-09-11,0.4166666666666667,8,0.05
2018-09-12,0.8333333333333334,8,0.1
2018-09-13,1.25,8,0.16
2018-09-14,0,8,0
2018-09-15,0,8,0
2018-09-16,0,8,0
2018-09-17,1.25,8,0.16
2018-09-18,0.8333333333333334,8,0.1
2018-09-19,0,8,0
2018-09-20,1.6666666666666667,8,0.21
2018-09-21,0,8,0
2018-09-22,2.916666666666667,8,0.36
2018-09-23,0.4166666666666667,8,0.05
2018-09-24,0,8,0
