Date,category,time_spent
2018-07-21,Craft,3
2018-07-22,Craft,1
2018-07-22,Other,0.5
2018-07-23,Study,1
2018-07-24,Study,1.5
2018-07-24,Work,1
2018-07-25,Work,1.5
2018-07-26,Work,2
2018-07-27,Work,1.5
2018-07-28,Other,0.5
2018-07-28,Study,2
2018-07-30,Craft,0.5
2018-07-30,Study,1
2018-07-30,Work,3
2018-08-01,Study,0.5
2018-08-01,Work,2.5
2018-08-02,Study,1
2018-08-03,Study,0.5
2018-08-03,Work,3
2018-08-04,Craft,1
2018-08-04,Study,0.5
2018-08-06,Work,3.5
2018-08-07,Work,0.5
2018-08-09,Study,0.5
2018-08-10,Craft,0.5
2018-08-13,Craft,0.5
2018-08-13,Work,0.5
2018-08-14,Craft,0.5
2018-08-15,Study,2
2018-08-18,Study,4
2018-08-20,Craft,0.5
2018-08-20,Study,1.5
2018-08-22,Study,0.5
2018-08-24,Work,0.5
2018-08-27,Craft,0.5
2018-08-27,Study,3.5
2018-08-28,Study,1
2018-08-29,Study,0.5
2018-08-29,Work,1
2018-08-30,Study,0.5
2018-08-30,Work,2.5
2018-08-31,Study,3
2018-08-31,Work,1.5
2018-09-01,Study,4.5
2018-09-02,Craft,0.5
2018-09-02,Work,0.5
2018-09-03,Study,2
2018-09-03,Work,2
2018-09-04,Work,0.5
2018-09-05,Study,1
2018-09-05,Work,0.5
2018-09-06,Work,0.5
2018-09-07,Study,1
2018-09-08,Study,1
2018-09-09,Study,1.5
2018-09-10,Study,0.5
2018-09-10,Work,2
2018-09-11,Study,0.5
2018-09-12,Study,1
2018-09-13,Study,1.5
2018-09-17,Study,1.5
2018-09-18,Work,1
2018-09-20,Study,2
2018-09-22,Study,3.5
2018-09-23,Study,0.5
2018-09-29,Study,2
2018-09-30,Study,1
2018-10-02,Work,1.5
2018-10-06,Study,1
2018-10-07,Craft,0.5
2018-10-08,Work,1.5
2018-10-13,Study,0.5
2018-10-15,Study,0.5
2018-10-16,Study,0.5
2018-10-19,Work,4
2018-10-20,Craft,1.5
2018-10-22,Study,1.5
2018-10-23,Study,1
2018-10-23,Work,1.5
2018-10-24,Study,1
2018-10-24,Work,2
2018-10-25,Study,1
2018-10-26,Work,3
2018-10-27,Craft,1.5
2018-10-29,Study,1
2018-10-29,Work,2
2018-10-30,Study,1
2018-10-30,Work,2
2018-10-31,Work,2.5
2018-11-01,Work,3.5
2018-11-04,Study,1
2018-11-05,Study,0.5
2018-11-05,Work,1.5
2018-11-06,Work,3.5
2018-11-07,Work,2.5
2018-11-08,Work,1.5
2018-11-09,Craft,0.5
2018-11-10,Craft,2
2018-11-10,Other,1
2018-11-11,Craft,0.5
2018-11-11,Other,1.5
2018-11-11,Study,0.5
2018-11-12,Craft,2
2018-11-12,Other,2
2018-11-13,Work,1
2018-11-14,Work,2.5
2018-11-15,Work,0.5
2018-11-16,Work,3
2018-11-17,Craft,1
2018-11-17,Study,0.5
2018-11-19,Craft,0.5
2018-11-19,Other,2
2018-11-19,Wealth,5.5
2018-11-20,Craft,1
2018-11-20,Other,1
2018-11-20,Wealth,0.5
2018-11-20,Work,1
2018-11-21,Craft,0.5
2018-11-23,Craft,1.5
2018-11-24,Craft,0.5
2018-11-27,Work,1
2018-11-28,Work,1.5
2018-11-30,Work,2
2018-12-05,Work,2.5
2018-12-06,Work,2.5
2018-12-07,Craft,2
2018-12-08,Craft,0.5
2018-12-09,Craft,2
2018-12-11,Work,1.5
2018-12-12,Work,1.5
2018-12-14,Other,1
2018-12-15,Other,1
2018-12-20,Craft,0.5
2018-12-21,Craft,2
2018-12-21,Other,2
2018-12-23,Other,3
2018-12-23,Wealth,1.5
2018-12-24,Craft,1.5
2018-12-24,Study,0.5
2018-12-25,Craft,2
2018-12-25,Wealth,0.5
2018-12-26,Craft,2.5
2018-12-26,Other,1.5
2018-12-26,Wealth,0.5
2018-12-27,Other,1.5
2018-12-27,Wealth,0.5
2018-12-28,Craft,2
2018-12-28,Other,1
2018-12-29,Craft,1
2018-12-30,Craft,1.5
2018-12-31,Craft,0.5
2019-01-02,Craft,1
2019-01-02,Study,2.5
2019-01-02,Wealth,1
2019-01-02,Work,1.5
2019-01-03,Craft,2
2019-01-03,Study,2
2019-01-03,Wealth,1
2019-01-03,Work,1.5
2019-01-04,Craft,0.5
2019-01-04,Wealth,1
2019-01-04,Work,0.5
2019-01-05,Wealth,1
2019-01-06,Craft,0.5
2019-01-06,Wealth,1.5
2019-01-07,Study,2
2019-01-08,Craft,0.5
2019-01-08,Study,0.5
2019-01-08,Work,1.5
2019-01-09,Wealth,1
2019-01-09,Work,0.5
2019-01-10,Craft,0.5
2019-01-12,Craft,0.5
2019-01-12,Wealth,1.5
2019-01-14,Craft,1
2019-01-14,Wealth,0.5
2019-01-14,Work,3.5
2019-01-15,Craft,1
2019-01-16,Work,1
2019-01-17,Wealth,0.5
2019-01-17,Work,0.5
